address;long;lat
McDonald’s Old Kent Road -518 Old Kent Road, SE1 5BA;-0.0683815;51.48438059999999
Canary Wharf Shopping Centre - Montgomery Street E14 5EW;-0.0154409;51.5044778
Waitrose Holloway Road, N76PA;-0.1161391;51.5561395
Reef Technolog , Regis Road Industry, NW5 4BX;-0.1460309;51.551019
Newington, SE14AG;-0.0920319;51.4943246
Mcdonald's Bow E3 2SP;-0.0149644;51.52969270000001
Leyton 666 high Road E106PJ;-0.0026785;51.5642481
Shell Recharge Little Waitrose Battersea ;-0.148085;51.4783528
Mcdonald's Old Kent Road SE1 5BA;-0.0683815;51.48438059999999
BP Hammersmith W6 8BJ;-0.2178171;51.4905531
McDonalds Wandsworth SW8 4ET;-0.1870182;51.4622269
Canary Wharf Shopping Centre E14 5EW;-0.0162264;51.5045771
SHell Fulham SW6 5HY;-0.2103944;51.4718653
North Greenwich Supercharger SE100TW;-9.37e-05;51.5037814
Mcdonald's Streatham Place SW2 4PZ;-0.125169;51.44588659999999
Ramac Way SE774X;0.0229262;51.4872657
MFG Hexagon SE7 7AL;0.0268076;51.4872223
Forest Hill 340 Woolwich Road, SE7 7 AL;0.0280713;51.4872974
Forest Hill - SE23 1HP;-0.043444;51.4423901
Mcdonald's church street SE185NS;-0.1035725;51.3733401
Mcdonalds Woolwich SE28 0FF;0.085398;51.490853
South Norwood 399 Holmesdale Road SE25 6BS;-0.07757059999999999;51.400569
Shell South Norwood SE25 4UX ;-0.069052;51.3963794
Shell Budgens Denham UB9 5EY;-0.5002611;51.5818416
Uxbridge Supercharger UB8 1QJ;-0.4742968;51.5460326
Tesla West Drayton Service Centre UB7 8JD;-0.46836;51.5189315
Shell Addlestone KT15 2ED;-0.492526;51.376677
Extra Services Cobham KT11 3DB ;-0.405724;51.3042205
Shell Recharge Ashtead KT21 1AA;-0.2984982;51.3103473
Rushett SF Connect KT9 2NH ;-0.3205826;51.3342538
Shell Recharge Ewell KT17 2PX;-0.2467308999999999;51.3554736
MFG Sutton Court SM2 5BN ;-0.1897535;51.3569194
Shell Sutton SM12SS;-0.2002391;51.361303
Shell St Helier SM52RT;-0.1772776;51.37492599999999
Purley Way CR04XJ;-0.1175124;51.37256
London Croydon Supercharger Airport house CR0 0XZ;-0.1176014;51.3565427
Godstone SF Connect ;-0.067578;51.247571
Sevenoaks Supercharger TN13 2TD;0.1608153;51.30150459999999
Porsche Centre South London DA145BN;0.1211609;51.4128988
London Sidcup Supercharger Maidstone Road, DA14 5BQ;0.1241098;51.415955
Bluewater Shopping Centre Supercharger DA9 9ST;0.2711103;51.43894820000001
Datford Superchargers DA2 6QG;0.2473015;51.4530219
Meads RM19 1TS;0.2464511;51.48582740000001
Grays Supercharger RM20 2ZP;0.2835773;51.4871066
Thurrock Services M25 RM16 3BG;0.270838;51.491051
Shell Erith Northend Road DA83RF;0.1810831;51.468079
MFG Erith 295-313 Bexley Road DA8 3EX;0.1624546;51.4726657
Shell Recharge Upminster 168 Saint Marys RM14 3BS;0.250731;51.5560359
Hornchurch SF Connect - Southen Arterial Road, RM113UJ;0.2385176;51.5800669
Romford Supercharger Western Road RM1 3LD;0.1830854;51.5767293
Shell Recharge Rise Park Eastern Avenue RM1 4SJ;0.1858607;51.5952821
Shell Dagenham Wood Lane RM10 7RP;0.1483637;51.560415
Shell Ripple Road 514 IG11 9PG;0.107323;51.5329765
MFG Loxford IG1 2PG;0.0779561;51.544566
Redbridge 130 Eastern Avenue IG4 5AQ;0.0460656;51.5759291
Shell Recharger Pinner Green HA52AF;-0.3940795;51.5980125
London Park ROyal 52 Dukes Road W30SL;-0.283526;51.52681
Porsche Centre West London 34A Barrowgate Rd W4 4QY;-0.269811;51.488256
Shell Recharge Twickenham 5-11 Oak Lane TW1 3AB;-0.3253256;51.4484514
